application_id,Interview Taken on,Status,event_name,Department,Post Name,Offered Salary
383422,2014-05-01 11:40:49,Hired,Male,Service Department,c8,56553.0
907518,2014-05-06 08:08:32,Hired,Female,Service Department,c5,22075.0
176719,2014-05-06 08:08:54,Rejected,Male,Service Department,c5,70069.0
429799,2014-05-02 16:28:59,Rejected,Female,Operations Department,i4,3207.0
253651,2014-05-02 16:32:26,Hired,Male,Operations Department,i4,29668.0
289907,2014-05-01 07:44:18,Hired,Male,Sales Department,-,85914.0
959124,2014-05-06 16:27:55,Rejected,Male,Sales Department,i7,69904.0
86642,2014-05-09 13:17:36,Rejected,Male,Sales Department,i7,11758.0
751029,2014-05-02 13:09:57,Hired,Female,Service Department,i4,15156.0
434547,2014-05-02 13:11:11,Rejected,Female,Service Department,i4,49515.0
518854,2014-05-01 09:00:54,Rejected,Male,Service Department,n10,26990.0
649039,2014-05-07 10:48:25,Hired,Female,Service Department,b9,200000.0
199526,2014-05-07 10:50:05,Hired,Male,Service Department,b9,86787.0
539803,2014-05-15 09:31:30,Hired,Male,Finance Department,b9,2308.0
191009,2014-05-09 12:48:56,Hired,Female,Service Department,i7,56688.0
195323,2014-05-09 12:48:34,Hired,-,Service Department,i7,81757.0
51318,2014-05-02 08:07:08,Hired,Male,Service Department,i5,15134.0
742283,2014-05-02 08:11:07,Rejected,-,Service Department,i5,100.0
513166,2014-05-01 22:53:32,Hired,Female,Operations Department,i1,73579.0
791372,2014-05-01 22:54:28,Rejected,Male,Operations Department,i1,50351.0
47857,2014-05-01 22:55:29,Rejected,Female,Operations Department,i1,38462.0
834101,2014-05-01 22:53:12,Rejected,Don’t want to say,Operations Department,i1,82510.0
985008,2014-05-01 09:41:45,Rejected,Male,Service Department,i6,52554.0
891568,2014-05-01 16:28:25,Hired,Female,Operations Department,i7,3423.0
935899,2014-05-10 14:17:55,Rejected,Male,Service Department,i1,88744.0
780839,2014-05-10 14:18:18,Hired,Female,Service Department,i1,70979.0
851764,2014-05-01 16:01:19,Rejected,Male,Operations Department,i6,99574.0
202821,2014-05-01 16:01:49,Hired,Male,Operations Department,i6,52176.0
969924,2014-05-01 11:47:49,Rejected,Male,Finance Department,i1,61432.0
765579,2014-05-01 09:26:23,Rejected,Male,Sales Department,i4,87884.0
924976,2014-05-01 09:26:53,Rejected,Male,Sales Department,i4,56229.0
896164,2014-05-01 17:21:29,Hired,Don’t want to say,Production Department,i7,37947.0
600625,2014-05-02 18:21:43,Rejected,Male,Service Department,c5,88057.0
692533,2014-05-02 18:23:53,Hired,Male,Service Department,c5,72843.0
894276,2014-05-02 11:47:58,Rejected,Male,Operations Department,i4,84513.0
121909,2014-05-02 12:21:13,Rejected,Male,Operations Department,i4,23129.0
176467,2014-05-02 12:21:47,Rejected,Male,Operations Department,i4,73304.0
955372,2014-05-02 09:16:50,Rejected,Female,Sales Department,b9,85176.0
958058,2014-05-02 13:04:36,Rejected,Male,Service Department,b9,31854.0
15712,2014-05-03 00:36:50,Rejected,Male,Sales Department,i6,11970.0
443525,2014-05-09 15:40:50,Rejected,Male,Service Department,i5,2085.0
847880,2014-05-09 15:43:03,Hired,Female,Service Department,m6,800.0
577498,2014-05-04 09:41:19,Rejected,Male,Service Department,m7,41402.0
959638,2014-05-04 09:44:20,Rejected,Male,Service Department,i7,48028.0
442311,2014-05-04 17:32:34,Rejected,Male,Service Department,i5,22832.0
300293,2014-05-05 13:25:23,Rejected,Male,Operations Department,i7,5664.0
290946,2014-05-05 19:35:42,Rejected,Male,Purchase Department,i7,89786.0
37073,2014-05-05 19:37:25,Hired,Female,Purchase Department,i7,51645.0
622677,2014-05-05 15:41:23,Rejected,Male,Finance Department,c5,60294.0
580633,2014-05-05 15:42:18,Rejected,Male,Finance Department,c5,53465.0
116456,2014-05-05 15:44:33,Hired,Female,Finance Department,c5,52285.0
798741,2014-05-05 15:45:16,Rejected,Female,Finance Department,c5,2013.0
39036,2014-05-05 11:41:14,Rejected,Male,Operations Department,i4,98622.0
349039,2014-05-06 16:05:03,Rejected,Male,Operations Department,c5,68666.0
94068,2014-05-10 17:34:15,Hired,Male,Operations Department,i4,67434.0
487441,2014-05-10 17:34:52,Hired,Female,Operations Department,i4,12624.0
235574,2014-05-06 21:40:19,Rejected,Male,Service Department,m6,68466.0
180166,2014-05-06 04:03:39,Rejected,Male,Operations Department,b9,27418.0
249045,2014-05-06 13:26:57,Rejected,Female,Finance Department,c5,9009.0
563405,2014-05-06 13:28:21,Rejected,Female,Finance Department,c5,40831.0
810490,2014-05-06 13:30:32,Rejected,Female,Finance Department,c5,85140.0
296052,2014-05-29 14:43:35,Hired,Female,Finance Department,c5,1141.0
964704,2014-05-29 14:44:34,Hired,Female,Finance Department,c5,39485.0
565183,2014-05-06 08:40:10,Rejected,Male,Marketing Department,b9,84675.0
288171,2014-05-06 15:37:22,Hired,Female,Marketing Department,i4,33631.0
499643,2014-05-06 09:26:58,Rejected,Female,Service Department,i4,45288.0
610176,2014-05-07 14:06:28,Rejected,Male,Service Department,i4,46980.0
346219,2014-05-22 10:21:37,Rejected,Female,Operations Department,i5,25621.0
310984,2014-05-07 02:13:11,Rejected,Male,Service Department,i7,6472.0
357945,2014-05-07 02:13:47,Rejected,Male,Service Department,i7,25239.0
188820,2014-05-07 17:58:13,Rejected,Male,Sales Department,i4,94869.0
193244,2014-05-07 10:53:31,Rejected,Male,Operations Department,i6,77157.0
781620,2014-05-07 15:34:16,Rejected,Male,Production Department,i4,62894.0
379557,2014-05-07 15:34:48,Hired,Female,Production Department,i4,61532.0
674051,2014-05-07 15:35:24,Rejected,Female,Production Department,i4,81261.0
928902,2014-05-07 16:26:40,Rejected,Female,Finance Department,b9,59644.0
22155,2014-05-07 16:26:40,Rejected,Female,Finance Department,b9,46852.0
572422,2014-05-07 08:07:34,Rejected,Male,Sales Department,i7,61488.0
114584,2014-05-07 08:08:06,Rejected,Male,Sales Department,i7,
794226,2014-05-07 16:01:13,Rejected,Male,Service Department,i7,16090.0
496573,2014-05-07 16:01:42,Rejected,Male,Service Department,i7,83364.0
437695,2014-05-13 15:22:01,Rejected,Male,Service Department,i7,77517.0
983577,2014-05-08 07:13:23,Rejected,Male,Service Department,b9,84746.0
720850,2014-05-08 22:10:32,Rejected,Male,Sales Department,i6,80600.0
453498,2014-05-08 03:12:26,Hired,Male,Sales Department,i4,62937.0
550914,2014-05-08 03:15:14,Rejected,Female,Sales Department,i4,18921.0
37906,2014-05-08 03:16:01,Hired,Female,Sales Department,i4,95603.0
692080,2014-05-08 03:16:17,Hired,Male,Sales Department,i4,79230.0
735087,2014-05-08 03:16:46,Rejected,Male,Sales Department,i4,56650.0
855558,2014-05-08 11:52:07,Rejected,Female,Production Department,c5,75158.0
480514,2014-05-08 19:13:11,Rejected,Female,Operations Department,i1,50125.0
111017,2014-05-08 19:17:36,Rejected,Female,Operations Department,i1,11072.0
860311,2014-05-08 07:59:58,Hired,Male,Purchase Department,i5,14781.0
269204,2014-05-08 07:57:49,Hired,Don’t want to say,Purchase Department,i5,43093.0
566403,2014-05-09 15:05:12,Hired,Female,Operations Department,c5,85201.0
63871,2014-05-09 09:58:45,Rejected,Female,General Management,c5,16236.0
269231,2014-05-09 12:28:30,Rejected,Female,General Management,i5,67557.0
45301,2014-05-09 12:30:25,Rejected,Female,General Management,i5,74863.0
455073,2014-05-09 13:53:33,Hired,Female,Service Department,i4,60370.0
499649,2014-05-09 17:27:55,Rejected,Female,Operations Department,i4,33331.0
611809,2014-05-09 17:31:34,Hired,Female,Operations Department,i4,28473.0
475118,2014-05-09 14:10:50,Rejected,Female,Operations Department,i4,6911.0
556899,2014-05-09 14:11:55,Rejected,Female,Operations Department,i4,9397.0
879830,2014-05-10 20:03:37,Rejected,Male,Sales Department,i4,25582.0
773816,2014-05-10 20:09:58,Rejected,Female,Sales Department,i4,31548.0
316208,2014-05-10 17:30:13,Rejected,Male,Service Department,i5,19218.0
244695,2014-05-10 03:16:36,Rejected,Male,Service Department,i4,20095.0
458216,2014-05-12 08:27:51,Hired,Female,Operations Department,i6,67976.0
702304,2014-05-12 08:24:49,Rejected,Don’t want to say,Operations Department,i6,45539.0
788145,2014-05-12 18:26:09,Rejected,Male,Service Department,c5,80465.0
841217,2014-05-12 18:26:55,Rejected,Male,Service Department,c5,85634.0
599654,2014-05-13 18:40:25,Rejected,Male,Marketing Department,i1,97081.0
272804,2014-05-13 18:41:26,Hired,Male,Marketing Department,i1,28445.0
114169,2014-05-13 18:41:55,Hired,Female,Marketing Department,i1,42946.0
644226,2014-05-13 18:42:38,Rejected,Female,Marketing Department,i1,73532.0
576340,2014-05-13 09:18:14,Hired,Female,Operations Department,i7,55469.0
368184,2014-05-13 09:18:42,Rejected,Female,Operations Department,i7,19130.0
305032,2014-05-13 09:19:09,Hired,Female,Operations Department,i7,90807.0
